Time,Left_X,Left_Y,Left_Z,Right_X,Right_Y,Right_Z,F_Left_X,F_Left_Y,F_Left_Z,F_Right_X,F_Right_Y,F_Right_Z
0,0.0782428,-0.0129029,0.730896,-0.251434,-0.0513195,0.838555,0.0782428,-0.0129029,0.730896,-0.251434,-0.0513195,0.838555
27,0.0866608,-0.0158991,0.757864,-0.248694,-0.0489332,0.835277,0.0803473,-0.0136519,0.737638,-0.250749,-0.0507229,0.837736
180,0.0828111,-0.0472937,0.841566,-0.362567,0.0098072,0.737312,0.0810887,-0.0175563,0.750684,-0.263021,-0.0438648,0.826395
254,0.236479,0.105244,0.635159,-0.360401,-0.0366394,0.870239,0.0814594,-0.0195086,0.757207,-0.269157,-0.0404357,0.820725
333,0.247801,0.128413,0.592285,-0.305294,-0.0787242,0.943333,0.0816818,-0.0206799,0.761121,-0.272838,-0.0383783,0.817323
402,0.238901,0.131857,0.579532,-0.284437,-0.0779856,0.943336,0.0818301,-0.0214608,0.76373,-0.275293,-0.0370066,0.815055
482,0.246559,0.121351,0.613479,-0.329076,-0.0649508,0.90888,0.081936,-0.0220185,0.765593,-0.277046,-0.0360269,0.813435
563,0.244563,0.125389,0.615227,-0.33101,-0.0634341,0.899171,0.0820155,-0.0224369,0.766991,-0.278361,-0.0352921,0.81222
633,0.239298,0.14776,0.581415,-0.285714,-0.0878168,0.941113,0.0820773,-0.0227622,0.768078,-0.279384,-0.0347206,0.811275
703,0.237426,0.140424,0.581112,-0.290646,-0.0841262,0.941823,0.0821267,-0.0230225,0.768948,-0.280202,-0.0342634,0.810519
777,0.242259,0.125958,0.60514,-0.315392,-0.066477,0.908227,0.09533,-0.0121002,0.759886,-0.286191,-0.0351242,0.81595
850,0.239008,0.128619,0.592286,-0.289443,-0.0798274,0.936635,0.109636,0.000417129,0.74782,-0.292724,-0.0364133,0.822559
937,0.227242,0.141253,0.56847,-0.275693,-0.0828812,0.942949,0.125374,0.0159164,0.729784,-0.294639,-0.0406271,0.834545
1004,0.235798,0.1342,0.584108,-0.286882,-0.0789462,0.936222,0.141105,0.0317051,0.711237,-0.295818,-0.045264,0.84719
1074,0.0906292,0.00447724,0.803808,-0.324677,-0.0102918,0.82788,0.156837,0.0474939,0.69269,-0.296997,-0.0499008,0.859836
1143,0.214825,0.0471315,0.677691,-0.359988,0.00241688,0.758331,0.170756,0.0611961,0.677239,-0.299126,-0.0530493,0.869477
1208,0.222316,0.0218479,0.734157,-0.356064,-0.00626665,0.777896,0.184675,0.0748982,0.661789,-0.301255,-0.0561978,0.879118
1274,0.212604,0.0447134,0.692191,-0.372161,0.00477231,0.756096,0.198032,0.0867986,0.648315,-0.304065,-0.0580774,0.886018
1341,0.193421,0.00193498,0.806284,-0.341934,-0.0177619,0.838893,0.211389,0.098699,0.634842,-0.306875,-0.059957,0.892918
1404,0.213531,0.0427538,0.700462,-0.387576,-0.00482206,0.775374,0.224048,0.108164,0.62481,-0.311217,-0.060343,0.897132
1465,0.0936824,0.00857855,0.794329,-0.335851,-0.0201669,0.840669,0.223936,0.105461,0.628428,-0.313182,-0.057751,0.89243
1521,0.0953845,0.016621,0.777448,-0.32952,-0.0261926,0.851809,0.222302,0.101313,0.633702,-0.314741,-0.0548502,0.886714
1569,0.0890594,0.00486483,0.799069,-0.246207,-0.00257169,0.813882,0.219223,0.0952791,0.641707,-0.317168,-0.0510224,0.878942
1610,0.0874059,0.00545219,0.799432,-0.248991,-0.00306124,0.81576,0.210363,0.0840106,0.658425,-0.320262,-0.0442101,0.866491
1654,0.087864,0.00261472,0.806262,-0.242438,-0.00537679,0.817734,0.201475,0.0727235,0.675168,-0.322533,-0.0373487,0.853939
1699,0.0865564,0.00811301,0.796925,-0.244419,-0.00471443,0.813102,0.193117,0.0631328,0.690006,-0.322699,-0.032047,0.844938
1745,0.0872819,0.00397196,0.799587,-0.24533,-0.00416085,0.811494,0.183409,0.0533633,0.705499,-0.321758,-0.0267242,0.836274
1787,0.0876814,0.00534845,0.799617,-0.245207,-0.00642063,0.81736,0.173014,0.045002,0.720089,-0.318867,-0.0227823,0.830963
1830,0.0876108,0.00432876,0.800514,-0.246523,-0.00565946,0.811615,0.16156,0.0366646,0.734622,-0.315021,-0.0187193,0.825379
1871,0.0862218,0.00533796,0.797932,-0.244749,-0.00369079,0.812731,0.149531,0.030388,0.746687,-0.308215,-0.0161386,0.822856
1932,0.0859944,0.00795077,0.793346,-0.24393,-0.0064365,0.815847,0.137426,0.0241052,0.758743,-0.30049,-0.0134206,0.820084
1977,0.0861744,0.00397503,0.803225,-0.246505,-0.0041026,0.811174,0.125228,0.0176959,0.771056,-0.291935,-0.0104817,0.816906
2030,0.0845539,0.00461559,0.79833,-0.243804,-0.00353827,0.809358,0.112985,0.011284,0.783361,-0.283356,-0.00755247,0.813683
2076,0.089537,0.00718125,0.794634,-0.244112,-0.00456674,0.812271,0.106551,0.00983466,0.787416,-0.274796,-0.00719969,0.814444
2118,0.0891096,0.00518564,0.79805,-0.243011,-0.00573427,0.812668,0.100157,0.00842961,0.791365,-0.267065,-0.00689963,0.815256
2161,0.0889833,0.0053377,0.798979,-0.243843,-0.00564278,0.814412,0.0950707,0.007387,0.794141,-0.260483,-0.00653754,0.815533
2211,0.0909787,0.0120398,0.786676,-0.242572,-0.00651315,0.814162,0.0913712,0.00660382,0.796134,-0.254982,-0.00622003,0.815501
