Time,Left_X,Left_Y,Left_Z,Right_X,Right_Y,Right_Z,F_Left_X,F_Left_Y,F_Left_Z,F_Right_X,F_Right_Y,F_Right_Z
0,0.205374,-0.114157,0.393192,0.0714256,-0.0965901,0.430223,0.205374,-0.114157,0.393192,0.0714256,-0.0965901,0.430223
45,0.207398,-0.089361,0.400365,0.0373928,-0.0715557,0.429463,0.20588,-0.107958,0.394985,0.0629174,-0.0903315,0.430033
90,0.181967,-0.0258316,0.434415,0.00301006,-0.0212363,0.446339,0.203335,-0.0974554,0.399765,0.0543703,-0.0812634,0.431803
133,0.167458,0.00336423,0.450127,-0.00978951,0.00878234,0.454175,0.200139,-0.0872157,0.404705,0.0471551,-0.0722351,0.433864
176,0.153165,0.0298864,0.456248,-0.0227195,0.0321608,0.453816,0.196726,-0.0776165,0.409138,0.0408969,-0.0637256,0.435652
220,0.138816,0.061038,0.43447,-0.0404233,0.0579337,0.425218,0.193221,-0.0684321,0.412304,0.0351612,-0.0556187,0.436356
264,0.129516,0.0705719,0.437818,-0.0450634,0.0688641,0.425119,0.189775,-0.0599722,0.414764,0.0300123,-0.0481148,0.436557
307,0.121783,0.0871529,0.439591,-0.0565292,0.0793965,0.424712,0.186451,-0.0521216,0.416765,0.0252811,-0.0411981,0.436504
351,0.120595,0.0944485,0.442559,-0.0605303,0.0885018,0.42526,0.18334,-0.0448844,0.418468,0.0209508,-0.0348149,0.436328
394,0.118353,0.0994955,0.44746,-0.0616935,0.0954814,0.428353,0.18045,-0.0382299,0.419983,0.0170065,-0.028916,0.436122
438,0.120805,0.0994708,0.450332,-0.0591941,0.0976508,0.429814,0.174511,-0.0225118,0.424598,0.00670855,-0.0148972,0.436523
517,0.12655,0.0975629,0.451797,-0.0538361,0.0931458,0.433747,0.167663,-0.00616434,0.429368,-0.00280006,-0.000483081,0.437004
560,0.129055,0.0912378,0.45268,-0.0515714,0.0863125,0.434235,0.161099,0.00882295,0.433067,-0.0111412,0.012912,0.436814
602,0.128109,0.084216,0.45305,-0.0511941,0.0802261,0.434578,0.154912,0.0226234,0.435774,-0.0187197,0.0252237,0.435958
640,0.123567,0.0621226,0.456588,-0.0571678,0.0546546,0.436083,0.149176,0.0350185,0.437751,-0.0256781,0.0362141,0.434649
680,0.113194,0.0318556,0.456149,-0.0647991,0.0287389,0.432012,0.143922,0.0454509,0.439817,-0.0319422,0.0454523,0.433701
722,0.0934348,0.0181636,0.456975,-0.0836051,0.0188686,0.424067,0.138966,0.0540294,0.441937,-0.0378553,0.0529912,0.432953
765,0.0792727,0.0200156,0.454944,-0.0965794,0.0190205,0.416329,0.134177,0.060732,0.444085,-0.0434733,0.0588953,0.432284
808,0.069995,0.0212548,0.451891,-0.103103,0.0212462,0.407895,0.129355,0.0656847,0.446195,-0.0489315,0.0632236,0.431563
852,0.0629004,0.0246556,0.454104,-0.111257,0.0228683,0.40539,0.12438,0.0690242,0.448217,-0.0544054,0.0660336,0.430677
898,0.0608537,0.0347479,0.455854,-0.113415,0.0310876,0.401842,0.119651,0.0695802,0.449724,-0.0591153,0.0662355,0.429517
941,0.0678562,0.038891,0.456848,-0.106895,0.0366514,0.403158,0.115143,0.0676802,0.450767,-0.0634435,0.0642254,0.428007
986,0.0728292,0.0451794,0.460326,-0.10437,0.0400638,0.40619,0.110602,0.0641489,0.451703,-0.0677538,0.0606774,0.426338
1029,0.0771643,0.0449706,0.466503,-0.0961998,0.0393072,0.413485,0.105945,0.0594167,0.452745,-0.0721002,0.0560057,0.424654
1072,0.0741228,0.0449741,0.467863,-0.0975845,0.0386813,0.413844,0.10109,0.0541906,0.453896,-0.0765062,0.0509494,0.422925
1114,0.075272,0.0456286,0.470115,-0.0976715,0.0372498,0.41437,0.0961118,0.0493941,0.45497,-0.0809972,0.0462701,0.420951
1157,0.0838978,0.0346787,0.478951,-0.0939834,0.0334537,0.423098,0.091399,0.0452868,0.456072,-0.0852066,0.0422366,0.418979
1199,0.085803,0.036896,0.476002,-0.0889879,0.0368226,0.421929,0.0871765,0.0420196,0.457231,-0.0889396,0.0389849,0.417146
1242,0.0823213,0.0462059,0.477136,-0.0934894,0.0446565,0.42257,0.0835834,0.039734,0.45855,-0.0921507,0.0366399,0.415634
